program,rank_in_program,rank_by_mean_score,cell_type,n_cells,n_expressing,prop_expressing,ci_low,ci_high,mean_score,median_score,prop_overall,enrichment
P04_PYHIN1,21,23,pDC,44,6,0.13636363636363635,0.06402954497555872,0.2670945304851544,-0.4782389273962082,-0.6039280893716468,0.40928435435099114,0.33317578576847967
P04_PYHIN1,22,28,cDC1,9,1,0.1111111111111111,0.019890887638544907,0.434999705576656,-0.927574455554014,-1.0475861809052618,0.40928435435099114,0.2714765661817242
P04_PYHIN1,23,20,B intermediate,316,29,0.09177215189873418,0.06465774526681745,0.1286926072756995,-0.3291107245845658,-0.4521662457784017,0.40928435435099114,0.22422589801718362
P04_PYHIN1,24,21,B naive,908,78,0.08590308370044053,0.06937597626314077,0.10591925436546087,-0.3520627017649926,-0.40193760722516536,0.40928435435099114,0.20988606768675155
P04_PYHIN1,25,22,B memory,164,10,0.06097560975609756,0.0334545613251158,0.10859293390169865,-0.40004716376200844,-0.44752414343347513,0.40928435435099114,0.14898104241679988
P04_PYHIN1,26,25,CD14 Mono,4705,164,0.03485653560042508,0.029983506060604913,0.04048849044271379,-0.7434101284600942,-0.7981274479938798,0.40928435435099114,0.08516459334414983
P04_PYHIN1,27,26,CD16 Mono,436,15,0.034403669724770644,0.02095804743864295,0.0559820821058299,-0.7820598027286338,-0.8429758341532634,0.40928435435099114,0.08405811108837792
P04_PYHIN1,28,29,cDC2,119,2,0.01680672268907563,0.004621175448157974,0.059212801256237346,-0.9858223414629479,-1.057769357765535,0.40928435435099114,0.04106368227958854
P04_PYHIN1,29,27,Plasmablast,13,0,0.0,0.0,0.22809537235419838,-0.8723971866198738,-0.9172688471169834,0.40928435435099114,0.0
P04_PYHIN1,30,30,ASDC,3,0,0.0,5.551115123125783e-17,0.5614970317550454,-1.232739781350336,-1.201041011886903,0.40928435435099114,0.0
